number,state,value,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,avg_spearman_ic,std_spearman_ic,spearman_icir,negative_spearman_folds,robust_score
47,TrialState.COMPLETE,0.10727036457599487,372,4,0.006033800092864619,0.6414696679636873,0.5451202423432193,22,1.0569327126793544,5.123536527866434,8.485209795871002,0.1572973999620851,0.16010814154436095,0.9824447304480324,3.0,0.10727036457599487
48,TrialState.COMPLETE,0.10821400271983658,238,4,0.0066235899206287755,0.6851139845665949,0.524103937576884,12,0.9641339225193463,0.05715566722528126,4.812378811432446,0.15695343474670115,0.15495772810745823,1.0128790391006441,3.0,0.10821400271983658
49,TrialState.PRUNED,-0.13448231870003458,201,3,0.008898999501288404,0.6176906574802853,0.545094767980316,11,1.0390565033964883,4.668234817920349,8.931443371391902,,,,,
50,TrialState.PRUNED,-0.05265832854758125,258,4,0.012789774357974315,0.6210222953138244,0.6847650079294636,16,0.2138283946541889,1.1983986156055362,16.500844688046314,,,,,
51,TrialState.COMPLETE,0.10681861855706337,320,4,0.009424334412642454,0.9463564512063365,0.5991032122427524,23,2.770300256588449,0.3708215194406085,10.565343932915281,0.15656386068775266,0.15898096852275712,0.9847962441198836,3.0,0.10681861855706337
52,TrialState.COMPLETE,0.10718812018087492,214,4,0.01382705376549861,0.6265083532169305,0.5104710142745286,22,0.23409410952189813,2.1736708836333114,17.91802064782681,0.15602599873328912,0.15535151420965673,1.0043416668776213,3.0,0.10718812018087492
53,TrialState.COMPLETE,0.10236895507482374,227,4,0.013450781039699664,0.9295059129302025,0.5207147887094024,24,2.1750394134754734,0.04980695654890112,9.797057690403502,0.1507430320687971,0.1534963079758934,0.9820629177118143,3.0,0.10236895507482374
54,TrialState.COMPLETE,0.1030039887029039,332,4,0.009673906785543786,0.684711140732312,0.5336318073316513,18,1.297288478753917,3.796820791204025,56.45945126166223,0.1501354339448732,0.1618591143012105,0.9275686117093153,2.0,0.1030039887029039
55,TrialState.COMPLETE,0.10811409710628767,209,4,0.007292844070549377,0.6035457137604896,0.5599208800749431,14,3.2043617157463684,1.9556693031351906,17.705270452653174,0.15705730944751792,0.15577284936492097,1.0082457250273948,3.0,0.10811409710628767
56,TrialState.PRUNED,-0.12840527387104803,189,3,0.009396083621111703,0.8078126634578506,0.5137596021687436,11,1.1120709026636244,0.5021831275472177,8.083415463243906,,,,,
57,TrialState.COMPLETE,0.11346789704393506,213,4,0.010018451571499944,0.9039421983553633,0.5757353082114764,18,1.0914463355041475,0.15201841079279912,3.888159978270548,0.16342587438054407,0.15983190934643604,1.0224859044029693,3.0,0.11346789704393506
58,TrialState.PRUNED,-0.11809725460999232,213,3,0.011804030479222502,0.9176141199836793,0.5594135661229694,24,0.21972721959975638,0.1702874301226715,10.388289127555842,,,,,
59,TrialState.COMPLETE,0.10253172763736415,254,4,0.008695477478006435,0.9155755398363219,0.6626130907820037,15,1.2231891064777245,1.4344111907091144,5.36780985175992,0.15135333760899572,0.15528643988652627,0.9746719528092432,3.0,0.10253172763736415
60,TrialState.COMPLETE,0.11458229126249148,213,4,0.013614357041757352,0.7480729452286116,0.5748594352181698,9,1.5069541724487183,0.0180851249955317,36.77055606518954,0.16434059390683042,0.15903321057735578,1.0333727987393744,3.0,0.11458229126249148
61,TrialState.COMPLETE,0.10575058431889522,200,4,0.011593425723446104,0.9084374106424125,0.6029324821182327,11,1.9773311856075635,0.03128204096397765,2.9885600659798803,0.156146556079792,0.16158388704358712,0.9663497947519458,3.0,0.10575058431889522
62,TrialState.COMPLETE,0.10875937573347505,210,4,0.0075261362250005626,0.8701978831865854,0.5321460012863919,11,1.1394781267492289,0.025438746321388726,28.024252443641064,0.15774293759083527,0.1559342474294409,1.0115990565973185,3.0,0.10875937573347505
63,TrialState.PRUNED,-0.07144896895650889,218,4,0.01872574352185542,0.7500551436658826,0.6579063810106818,12,3.218007873964564,0.0331617145359645,49.048278434248616,,,,,
64,TrialState.PRUNED,-0.04807564923305239,186,4,0.025757736642573328,0.6184639763651175,0.6195394878094068,8,0.8003311215125305,0.01583956559711469,21.631672450249365,,,,,
65,TrialState.PRUNED,-0.1100943344808138,189,3,0.015254115465215864,0.7744840627071489,0.5025923816627715,13,0.9129531939701898,0.16442962338921716,45.16688260994639,,,,,
66,TrialState.PRUNED,-0.042453192653464075,364,4,0.011523544527665134,0.7141162153136396,0.6229454032686326,14,1.1057580484698302,0.01864111681980285,62.46068766174675,,,,,
67,TrialState.PRUNED,-0.044002201099531804,254,4,0.009868484186006507,0.9277558582165834,0.6948700213206784,17,0.5439676773976813,0.08161413838546339,3.762153281358426,,,,,
68,TrialState.COMPLETE,0.10510629779292782,183,4,0.008989362969577358,0.739242974800371,0.6951759796535248,8,1.0927081919912776,0.1697951550146295,44.53697898572975,0.1533341909401653,0.15291157258894988,1.00276380880832,3.0,0.10510629779292782
